nodeName	altName	nodeAttr[nodesPresent, ]
KRT32	KRT32	blue
KRT38	KRT38	blue
KRT71	KRT71	blue
KRT76	KRT76	blue
KRT8	KRT8	blue
KRT85	KRT85	blue
KRTAP10.10	NA	blue
KRTAP1.1	NA	blue
KRTAP11.1	NA	blue
KRTAP13.1	NA	blue
KRTAP13.2	NA	blue
KRTAP13.4	NA	blue
KRTAP2.1	NA	blue
KRTAP2.3	NA	blue
KRTAP4.12	NA	blue
KRTAP4.5	NA	blue
KRTAP4.8	NA	blue
KRTAP6.3	NA	blue
KRTAP7.1	NA	blue
KRTDAP	KRTDAP	blue
LAMA5	LAMA5	blue
LAMB1	LAMB1	blue
LAMC2	LAMC2	blue
LAMC3	LAMC3	blue
LARGE2	NA	blue
LBX2.AS1	NA	blue
LCE2B	LCE2B	blue
LCE3B	LCE3B	blue
LCE3C	LCE3C	blue
LCE3D	LCE3D	blue
LCE4A	LCE4A	blue
LCN1	LCN1	blue
LCN12	LCN12	blue
LDB1	LDB1	blue
LDLR	LDLR	blue
LENEP	LENEP	blue
LEXM	NA	blue
LGALS14	LGALS14	blue
LGALS3BP	LGALS3BP	blue
LGALS7B	LGALS7B	blue
LGI3	LGI3	blue
LHFPL4	LHFPL4	blue
LIME1	LIME1	blue
LIN7B	LIN7B	blue
LINC00545	NA	blue
LINC00599	NA	blue
LINC00665	NA	blue
LINC00844	NA	blue
LINC00942	NA	blue
LINC01158	NA	blue
LINC01304	NA	blue
LINC01350	NA	blue
LINC01356	NA	blue
LINC01530	NA	blue
LINC01559	NA	blue
LINC01565	NA	blue
LINC01599	NA	blue
LINC01657	NA	blue
LINC01672	NA	blue
LINC02078	NA	blue
LINC02104	NA	blue
LINC02149	NA	blue
LINC02223	NA	blue
LIPE.AS1	NA	blue
LMAN1L	LMAN1L	blue
LMBRD2	LMBRD2	blue
LMF2	LMF2	blue
LMO7DN	NA	blue
LNX1	LNX1	blue
LOC100127955	LOC100127955	blue
LOC100128239	LOC100128239	blue
LOC100130417	NA	blue
LOC100240735	NA	blue
LOC100287704	NA	blue
LOC100288798	NA	blue
LOC100419920	NA	blue
LOC100421494	NA	blue
LOC100505502	NA	blue
LOC100505851	NA	blue
LOC100505978	NA	blue
LOC100506271	NA	blue
LOC100506411	NA	blue
LOC101929550	NA	blue
LOC101929680	NA	blue
LOC102723968	NA	blue
LOC105372255	NA	blue
LOC105376360	NA	blue
LOC149373	NA	blue
LOC284600	LOC284600	blue
LOC285097	NA	blue
LOC339260	LOC339260	blue
LOC400464	LOC400464	blue
LOC400710	NA	blue
LOC401127	LOC401127	blue
LOC401320	NA	blue
LOC440173	LOC440173	blue
LOC554206	LOC554206	blue
LOC644090	NA	blue
LOC654780	LOC654780	blue
LOC728613	LOC728613	blue
LOC79999	LOC79999	blue
LOC84214	NA	blue
LONRF3	LONRF3	blue
LOX	LOX	blue
LPIN3	LPIN3	blue
LPO	LPO	blue
LRAT	LRAT	blue
LRP1B	LRP1B	blue
LRRC2.AS1	NA	blue
LRRC41	LRRC41	blue
LRRC42	LRRC42	blue
LSP1	LSP1	blue
LTA	LTA	blue
LVRN	LVRN	blue
LY6G6C	LY6G6C	blue
LYG1	LYG1	blue
LYNX1	LYNX1	blue
LYPD4	LYPD4	blue
LYRM2	LYRM2	blue
LYSMD4	LYSMD4	blue
MAB21L3	NA	blue
MAFF	MAFF	blue
MAGEA12	MAGEA12	blue
MAGEA6	MAGEA6	blue
MAGEB2	MAGEB2	blue
MAOA	MAOA	blue
MAOB	MAOB	blue
MAP1A	MAP1A	blue
MAP2K7	MAP2K7	blue
MAP6	MAP6	blue
MAPK11	MAPK11	blue
MAPK15	MAPK15	blue
MAPK8IP2	MAPK8IP2	blue
MAPK8IP3	MAPK8IP3	blue
MAPKAPK2	MAPKAPK2	blue
MAPT	MAPT	blue
MARCH3	NA	blue
MARK4	MARK4	blue
MAT1A	MAT1A	blue
MATN4	MATN4	blue
MC2R	MC2R	blue
MC3R	MC3R	blue
MC5R	MC5R	blue
ME1	ME1	blue
MECOM	NA	blue
MED24	MED24	blue
MEDAG	NA	blue
MEF2D	MEF2D	blue
MEGF8	MEGF8	blue
MEI1	MEI1	blue
MELTF	NA	blue
MEP1A	MEP1A	blue
METAP1D	NA	blue
METTL22	NA	blue
METTL7B	METTL7B	blue
MFAP2	MFAP2	blue
MFAP5	MFAP5	blue
MFGE8	MFGE8	blue
MFSD6L	MFSD6L	blue
MGAT1	MGAT1	blue
MICALL2	MICALL2	blue
MIER3	MIER3	blue
MIGA2	NA	blue
MIOX	MIOX	blue
MIR7.3HG	NA	blue
MIR924HG	NA	blue
MKX	MKX	blue
MLANA	MLANA	blue
MLLT1	MLLT1	blue
MLLT11	MLLT11	blue
MLLT6	MLLT6	blue
MLN	MLN	blue
MLXIPL	MLXIPL	blue
MMP10	MMP10	blue
MMRN1	MMRN1	blue
MMRN2	MMRN2	blue
MOBP	MOBP	blue
MOCOS	MOCOS	blue
MON2	MON2	blue
MORC1	MORC1	blue
MOV10L1	MOV10L1	blue
MPP3	MPP3	blue
MPV17L	MPV17L	blue
MRAP	MRAP	blue
MRGPRG.AS1	NA	blue
MROH1	NA	blue
MROH5	NA	blue
MROH8	NA	blue
MRPL28	MRPL28	blue
MRPL45	MRPL45	blue
MRPS26	MRPS26	blue
MS4A15	MS4A15	blue
MS4A5	MS4A5	blue
MSI1	MSI1	blue
MSLNL	MSLNL	blue
MST1	MST1	blue
MST1R	MST1R	blue
MT1E	MT1E	blue
MT1JP	MT1JP	blue
MTNR1A	MTNR1A	blue
MTSS1L	MTSS1L	blue
MUC16	MUC16	blue
MUC4	MUC4	blue
MUC6	MUC6	blue
MXRA8	MXRA8	blue
MYADM	MYADM	blue
MYADML	MYADML	blue
MYBPC2	MYBPC2	blue
MYCL	NA	blue
MYH7	MYH7	blue
MYL7	MYL7	blue
MYO3A	MYO3A	blue
MYO7A	MYO7A	blue
N4BP2L1	N4BP2L1	blue
N4BP2L2	N4BP2L2	blue
NAA15	NA	blue
NAA40	NA	blue
NANOGP1	NANOGP1	blue
NAP1L2	NAP1L2	blue
NAT8	NAT8	blue
NAT8B	NAT8B	blue
NAV2	NAV2	blue
NCAM1	NCAM1	blue
NCK2	NCK2	blue
NDFIP2	NDFIP2	blue
NDUFAF7	NA	blue
NEFM	NEFM	blue
NEK3	NEK3	blue
NEK7	NEK7	blue
NELFA	NA	blue
NELL1	NELL1	blue
NES	NES	blue
NETO1	NETO1	blue
NEU2	NEU2	blue
NGB	NGB	blue
NKAIN1	NKAIN1	blue
NKX2.5	NA	blue
NLRC3	NLRC3	blue
NLRP14	NLRP14	blue
NME5	NME5	blue
NME9	NA	blue
NOP9	NA	blue
NOS2	NOS2	blue
NOS3	NOS3	blue
NOTCH2NL	NOTCH2NL	blue
NOTUM	NOTUM	blue
NOVA1	NOVA1	blue
NOX1	NOX1	blue
NOXO1	NOXO1	blue
NPAP1	NA	blue
NPC1L1	NPC1L1	blue
NPFFR1	NPFFR1	blue
NPHP1	NPHP1	blue
NPHS2	NPHS2	blue
NPIPB15	NA	blue
NPPB	NPPB	blue
NPVF	NPVF	blue
NPY4R	NA	blue
NPY6R	NPY6R	blue
NR0B2	NR0B2	blue
NR1H4	NR1H4	blue
NR1I3	NR1I3	blue
