nodeName	altName	nodeAttr[nodesPresent, ]
NKX2.5	NA	brown
NLRC3	NLRC3	brown
NLRP14	NLRP14	brown
NME9	NA	brown
NOS3	NOS3	brown
NOTCH2NL	NOTCH2NL	brown
NOTUM	NOTUM	brown
NOVA1	NOVA1	brown
NOXO1	NOXO1	brown
NPAP1	NA	brown
NPFFR2	NPFFR2	brown
NPHP1	NPHP1	brown
NPHS2	NPHS2	brown
NPIPB15	NA	brown
NPPB	NPPB	brown
NPVF	NPVF	brown
NPY6R	NPY6R	brown
NR0B2	NR0B2	brown
NR1I3	NR1I3	brown
NR2E1	NR2E1	brown
NR2F2	NR2F2	brown
NR4A1	NR4A1	brown
NRP1	NRP1	brown
NSUN4	NSUN4	brown
NTN3	NTN3	brown
NTNG1	NTNG1	brown
NTRK1	NTRK1	brown
NUDT8	NUDT8	brown
NXNL1	NXNL1	brown
OBSCN	OBSCN	brown
ODF3L2	ODF3L2	brown
ODF4	ODF4	brown
OPN4	OPN4	brown
OPRD1	OPRD1	brown
OPRL1	OPRL1	brown
OR10A2	OR10A2	brown
OR10A4	OR10A4	brown
OR10A5	OR10A5	brown
OR10T2	OR10T2	brown
OR12D3	OR12D3	brown
OR1F2P	OR1F2P	brown
OR1L4	OR1L4	brown
OR1N2	OR1N2	brown
OR2B2	OR2B2	brown
OR2B6	OR2B6	brown
OR2J2	OR2J2	brown
OR2V2	OR2V2	brown
OR4C15	OR4C15	brown
OR5AP2	OR5AP2	brown
OR5F1	OR5F1	brown
OR5H1	OR5H1	brown
OR5T2	OR5T2	brown
OR6M1	OR6M1	brown
OR6N1	OR6N1	brown
OR6W1P	OR6W1P	brown
OR7C2	OR7C2	brown
OR8D1	OR8D1	brown
OR8J1	OR8J1	brown
OTP	OTP	brown
OXR1	OXR1	brown
P2RX3	P2RX3	brown
PAFAH1B1	PAFAH1B1	brown
PALD1	NA	brown
PALM	PALM	brown
PAPD5	PAPD5	brown
PAPOLG	PAPOLG	brown
PAPPA	PAPPA	brown
PAQR7	PAQR7	brown
PAX1	PAX1	brown
PAX4	PAX4	brown
PAX5	PAX5	brown
PAX7	PAX7	brown
PBOV1	PBOV1	brown
PCDH19	PCDH19	brown
PCDHAC1	PCDHAC1	brown
PCDHGB1	PCDHGB1	brown
PCDHGC5	PCDHGC5	brown
PCED1A	NA	brown
PCK1	PCK1	brown
PCYT1A	PCYT1A	brown
PCYT2	PCYT2	brown
PDC	PDC	brown
PER3	PER3	brown
PFKFB1	PFKFB1	brown
PGBD2	PGBD2	brown
PGC	PGC	brown
PHOSPHO2	PHOSPHO2	brown
PHYH	PHYH	brown
PHYHD1	PHYHD1	brown
PIEZO2	NA	brown
PIGH	PIGH	brown
PIGQ	PIGQ	brown
PIP4K2C	PIP4K2C	brown
PJVK	NA	brown
PKD1L2	PKD1L2	brown
PKLR	PKLR	brown
PKMYT1	PKMYT1	brown
PKP2	PKP2	brown
PLA2G12B	PLA2G12B	brown
PLA2G2D	PLA2G2D	brown
PLBD2	NA	brown
PLCH2	PLCH2	brown
PLCXD2	PLCXD2	brown
PLEKHF1	PLEKHF1	brown
PLEKHG4B	PLEKHG4B	brown
PLEKHM1	PLEKHM1	brown
PLLP	PLLP	brown
PLPPR2	NA	brown
PLTP	PLTP	brown
